account_rewards,date
993200.0,2019-07-10
-1922690.099999994,2019-07-11
1010000.0,2019-07-12
2180000.0,2019-07-15
15000.0,2019-07-16
-1160000.0,2019-07-17
-933361.9999999851,2019-07-18
-2294786.25,2019-07-19
1680000.0,2019-07-22
-2689700.099999994,2019-07-23
2195299.999999985,2019-07-24
1765100.0,2019-07-25
-20000.0,2019-07-26
-2936652.399999991,2019-07-29
3175000.0,2019-07-30
90000.0,2019-07-31
-2140000.0,2019-08-01
-3640000.0,2019-08-02
-420000.0,2019-08-05
-1722190.0,2019-08-06
178345.0,2019-08-07
-970000.0,2019-08-08
-5000.0,2019-08-09
-1495000.0,2019-08-12
-505000.0,2019-08-13
1925000.0,2019-08-14
-575000.0,2019-08-15
-450000.0,2019-08-16
485000.0,2019-08-19
-495000.0,2019-08-20
485000.0,2019-08-21
3880000.0,2019-08-22
-1415000.0,2019-08-23
-990000.0,2019-08-26
-965000.0,2019-08-27
-1311537.5,2019-08-28
275000.0,2019-08-29
-570000.0,2019-08-30
-755000.0,2019-09-03
-602362.75,2019-09-04
-295754.64999999106,2019-09-05
1896602.799999997,2019-09-06
-1186554.700000003,2019-09-09
706100.0,2019-09-10
-41000.0,2019-09-11
-54200.0,2019-09-12
30100.0,2019-09-13
574400.0,2019-09-16
-729900.0,2019-09-17
458400.0,2019-09-18
-435400.0,2019-09-19
-671600.0,2019-09-20
257500.0,2019-09-23
-950200.0,2019-09-24
-2280700.0,2019-09-25
1485000.0,2019-09-26
-430400.0,2019-09-27
-1219599.999999985,2019-09-30
-2116400.000000015,2019-10-01
-3500.0,2019-10-02
-271900.0,2019-10-03
-1148200.0,2019-10-04
